SNP_A,SNP_B,SSR_B,InDel_C,Non-N_bases,Disease_resistance
63551.52082596796,49064.67712056225,0.791943502774741,0.700105423045387,16970981.430086594,1
77360.71740891082,82286.81238039662,0.5510612327157711,0.2812252134171168,5202258.628172591,1
68029.36021394643,70677.51690501865,1.1263305010599514,0.03095652740234757,18210817.860014793,0
63225.30418874244,89519.66557940702,1.7250268397313533,0.42868685081148816,16751316.716340095,0
53163.34834512909,41358.614848769124,1.2708335123321755,0.16211247365493484,15669555.463901373,1
71609.21138453245,92038.84690585572,1.097678165071483,0.1369265076409642,2522125.923439752,0
54319.73853480348,117977.4307321957,1.0388099596044997,0.3872539018558754,15364904.779440252,1
92017.15906491262,92192.30607932784,1.6170937446913682,0.37785981190168666,3194474.2142514572,1
97984.00912158543,78161.50597089896,1.3881866340601234,0.5963683889393749,8248325.171747065,0
49825.64606253955,104662.06345433462,1.86221565609609,0.23530488680463427,17890078.607924588,1
83713.17816086116,36376.22700437098,1.5340961188228948,0.6114286952227459,4012645.7682086388,0
61898.27833949107,82186.21502452905,1.343623963810138,0.2909305834664703,4213892.269973224,0
65147.69857079638,146106.5051365032,1.8530826502138649,0.49862776239875933,17008857.94468872,0
94824.52097829086,40582.22082947928,0.34376262101727395,0.6273033515886933,17588664.55639602,1
23895.992830424617,97435.23279090624,1.4190382235395747,0.45697180175770497,10466163.289315421,1
25231.73187522788,96585.84455612345,0.3632043564771826,0.4262457570154309,2718603.6563447244,0
19678.126987547035,54231.56801834726,0.8851169850215517,0.03276661180091106,10457050.577620305,0
87107.44718047885,46849.57435829069,0.7539255936837328,0.06172306329181533,3202882.421835928,0
82587.01032883758,85324.27160124219,1.8075224485189156,0.654816258995059,13578735.897408629,0
90211.008304486,101425.89564475277,0.5389023498334127,0.3563375491478188,14843021.100025795,0
99225.32240531941,92794.95992853458,1.5336868620793256,0.7436039641674628,4261661.899158671,1
84330.16082998806,42299.29847308158,1.7927643270199518,0.24403962801941467,4486063.012949351,0
56302.78706699334,132376.77634611505,0.6728917893587311,0.6303787103758026,14102333.631607715,1
82783.9216317758,148160.0962808039,0.5665894173554358,0.45654744977016937,16861017.964585233,0
27816.777347121457,140663.17858984641,1.2331862932992987,0.797357678711278,10535657.75911312,0
71113.44477018448,97262.62952897357,0.9421059559835301,0.4582215482547909,16914412.889984667,0
29898.32285495085,145836.70380406303,1.1624173321127511,0.18197996451596557,12598553.186265934,1
96407.52011511546,122843.63308207261,1.6948135613661803,0.2508662715510459,10947891.747629125,0
61313.41070525595,88869.20687315858,1.6486123054019015,0.3454818711133613,19976102.315871917,1
52416.94101921346,155949.73309911537,1.4229065933890497,0.032286235012185034,11849410.248226365,1
39958.11580468404,44324.74458566747,0.531525998525527,0.30661630191934613,12329717.713505588,0
82261.39622303998,99108.20591171464,0.3634663528452954,0.6809950397799602,7062433.713435832,0
55860.47757397353,51336.89804393748,0.8700759593961929,0.30132532436620435,8485491.679154519,1
65180.017756097826,47950.35000849317,0.4584556016057605,0.3695656149724274,10402830.797861751,0
19559.553436217477,59654.033155386256,1.0061923950875713,0.09004785868543348,19072120.45000205,1
69263.7462572978,103788.20013169266,0.7770020007781713,0.6854028411504254,19444397.417225752,0
68803.94498596097,46577.829590188696,1.6435691192322188,0.07196261494182483,18263880.06862987,1
69205.52174060483,48225.13879849974,1.7266749141932678,0.036387701478655395,5645427.2629249785,1
96331.09051671381,137917.13597576576,1.9625239862838555,0.5336416769123841,3541539.6638123053,1
74591.08482558912,85740.47709793791,1.9501920512687037,0.18408287048949723,5910092.917391289,1
47839.15574762424,95108.84328529627,0.3365697191223524,0.20332316782055052,14385604.557467487,1
54273.65216534534,64947.03818986035,0.9982013920801267,0.6819008179599028,10401184.96589949,0
75903.38926196299,81125.06254868973,1.9974267535140195,0.18502707838156998,2082601.8666317307,1
22998.714145229394,152203.59847765678,0.8992087330576499,0.05525021731893773,2206061.9741762932,1
73341.63738199041,143746.84566986328,1.0872604257473124,0.7405655815210989,16714978.066794308,1
73662.94317830724,127787.20265169491,1.617194243698951,0.024542740217105508,18996213.762705028,0
35461.752569128796,36837.79085067249,1.5530639434521878,0.7540632625965084,7950751.957525759,1
28700.882705352822,101245.55278269667,1.7171355925240415,0.12275383260666337,9322356.008448318,0
44180.553126707266,132881.44943370222,0.7507997210643735,0.6763735028939746,3250591.1622625436,0
48187.99398823768,154599.7594353056,0.3349925942529233,0.4135058071539601,2934424.651340533,0
65326.33194468401,126946.9622622578,1.3642879017375946,0.0455285224954606,3785936.8876523357,0
54403.92561737259,126128.3886903172,1.4737272129165067,0.6638536827266115,19855335.152256552,1
100035.02855891577,40363.46893691402,1.213894997183038,0.025174603440960543,18659516.47165387,0
26469.71929208633,148421.42092432664,0.5362558528588209,0.07260386173417026,4754264.965581086,1
35336.77075587128,58890.25061148648,0.7768730963778607,0.7431720560101924,6550212.235807269,1
31388.68998445469,80375.07493149694,0.4913467572861875,0.13981347797682409,8344908.16759992,0
72207.99101362807,138146.20777352192,0.8890005764274596,0.7466389557438657,17185352.934751436,0
39023.20301080192,119424.54338496119,0.6156795085264576,0.028672345567308063,13621176.414966196,1
56703.79414707342,127521.6554425719,1.1345899392182714,0.5655244022762697,10175510.160103079,1
38287.32413613303,106097.91264859047,0.9041179597438689,0.15135936014586887,17842749.455485888,1
31194.475442578136,64019.085497419146,0.5675752186999654,0.5774659104684279,11073516.662617736,0
27161.136716637324,148684.8059286402,0.9080526325504041,0.64337039475792,14853636.206433719,0
72475.3559256177,60419.445669348584,1.8007452126684702,0.6353658798748444,8494315.176078793,0
29469.184961934945,40431.998674923074,0.7460119723736192,0.7249538026584796,4904430.216522313,0
34316.33601944444,36562.59543589403,0.9699536917904512,0.4555843148458289,18867110.378870916,1
48604.18916486002,54199.596988652214,0.5937738243667278,0.6921990668405158,13278036.431547489,0
86142.43807737861,123147.91422951789,1.6542702315314144,0.283699094319598,15778585.592204055,0
26059.405890824084,41513.67239199084,1.355899774109092,0.1356033195623667,18364791.817101248,1
87549.42732240072,42331.200155135455,0.3066610281003411,0.12296049987230208,11849091.71674308,0
25976.167855198935,57944.43505962961,1.0630951634076802,0.708999994906102,9153018.09494019,1
99046.13559611185,119255.97849675737,1.9608947690405207,0.3903413134010201,5139602.319299275,1
56898.04973675923,142807.4316961309,1.8608215272466349,0.528684040236202,5922528.811237516,0
99071.17031979798,151919.80702380725,1.9293534054897625,0.05924939123925348,13847828.940958431,1
68202.17813883882,122801.56184898561,1.8792591282326592,0.061136503864213806,6609694.919025199,1
79358.87709005905,146556.55106322886,1.3674688077994706,0.282200900222996,19929863.391537495,0
21252.586757108616,101558.99475299948,0.857786967871103,0.6278824301844772,19108523.874519415,0
41472.97789384199,102333.73756538071,1.6274873826104035,0.5014589002090065,4108473.014832214,0
27976.31458069302,130816.01996842703,0.30720346401308046,0.2310382465119418,13827331.986852165,0
42579.63639433803,71712.13350056631,1.0747163810978824,0.722970807221952,3866341.48587247,1
27854.400673202257,86933.4636802054,1.8178478038391988,0.3447255239389873,13389644.472673148,1
44392.60388970001,104743.83569008198,0.7584007417022777,0.3304838671642226,4065138.732787135,0
52383.82854471761,42504.61141291687,0.4287044509304808,0.15205434579279697,5221399.769336145,1
23324.2421969491,93525.87184272154,0.4762067293155354,0.5737876954626665,14387275.450174874,1
75475.18590771165,72027.4822816801,1.0225914466016472,0.17980308841007417,12904555.593758488,0
65027.92069914574,45248.51808172373,1.596588587660469,0.48355683450888653,18547796.334666666,1
40027.32774797397,65179.68151182259,1.1288698229275635,0.7363068176845063,7726886.2555243485,0
61429.58843773607,154849.8189970701,1.151045185505512,0.7729655347056213,12027651.199054642,0
25797.06239295066,123225.86871001545,1.256452794241055,0.18987318743886944,2284402.67080725,1
65803.55913116288,118667.42644436641,0.924027597653192,0.7719009421424381,5987024.506702198,1
95131.58439882577,84319.41162586818,0.8416206076636661,0.7351873905209391,19686134.25886155,0
44441.223053459864,128698.88566202729,0.4839370457163352,0.20254014617979268,5126614.62127507,1
73395.06153698558,136337.07681706522,1.4460996975566616,0.05765215839414143,4608202.799204767,1
28939.22257956455,45524.116528131904,0.6439716867756378,0.7546124904082823,15587532.064101161,1
77455.15794184094,77608.30532562228,0.7909354083780767,0.5940052190223605,15314342.658108173,1
42020.705714617696,143196.89312507882,1.9101677689701435,0.3201430086900014,15007232.2035315,0
33204.883046590694,86258.13210242029,1.2725433742186438,0.013330168876941184,13208405.22086485,1
66680.57358923691,96691.70855726184,1.739747457563714,0.49087608821885015,3846784.9636968737,0
19668.926333561965,55332.170465772215,1.060910907668495,0.6121762686005963,4424213.137166185,1
86802.02242504114,45770.00712257772,1.3754714315425702,0.11312208347901073,2494336.0168137765,0
18389.724523981407,150136.30855466687,0.9289684905870199,0.5912662300133501,7062835.362711934,0
74258.7725540871,60424.26968286681,1.6787633126252595,0.6337866282643759,4135523.9585849154,0
40410.66177494968,51354.88094686198,0.3584480676738322,0.7279701402282167,11030846.984636616,1
79021.10383617537,130492.60036609032,1.6352376257295191,0.3436376553660715,4836877.41901797,1
97861.64924474737,45576.30915011931,1.7232157786670035,0.0868013557648658,8379159.678624061,1
38646.51091215652,53502.14201846905,1.6997450403969485,0.6676234201498586,17098705.83984064,0
65821.05875668046,138579.35558829497,1.7091866863099467,0.4890971467524513,11513685.621570157,0
67139.48029556264,142442.0895316849,1.8543240321271932,0.2979605453177302,7111589.715861335,0
65496.90818064249,114106.89475279703,1.189940642964002,0.3654655489355733,10853252.561069077,1
36515.77550917132,116030.90092462441,1.44046776532168,0.20114600188529538,4754828.539882549,0
97078.16795590975,54531.8567383545,0.873082054159813,0.6142224225688591,9897304.880294915,0
55111.40642526307,36611.24922212198,1.1461815786887088,0.2526167464488718,16509895.718162859,1
88251.91981510361,113017.71315511117,0.8493355963070808,0.5058529935176596,2301264.6288484577,0
76056.77985135285,140619.53271792262,1.340179209531656,0.7203337213709914,10041325.386335477,1
42687.26692097609,47436.08578763949,0.9983770282438762,0.4541891184258325,4046590.6554385857,1
85545.2190353056,48009.12284605083,0.924546683734601,0.04987007523587263,14373681.87119871,0
50909.97649029973,52095.2333315588,0.35492889109393516,0.366241010822851,14691669.086467186,0
91131.5653602264,127962.78878644996,1.126203597723131,0.26368282134229903,13730415.287558574,0
66245.64842877627,132509.49126245044,0.6583685910274122,0.7767044588284294,3526108.608400478,1
91184.03503395278,155348.217662825,0.7236797790363328,0.17606035655033173,5115923.900178965,0
75480.12197645457,114664.70093701269,0.49494341617967963,0.09733394306018539,12145570.84918795,0
78196.10522503016,114919.27462042934,0.8592332492221484,0.11046181549598934,10249224.989192989,1
59609.92369991629,145305.66989333043,0.9338104180725075,0.25468831769346917,2747014.01424527,1
97354.94168202758,78863.61093324641,1.652548754294969,0.11761982335669445,14492081.329232382,1
71451.1865360599,129224.18605241037,0.3307838003200692,0.29524141309253954,10229660.04740406,1
53179.96903032892,73630.53966852126,0.6637102397278507,0.17611402646125426,13418017.161718724,0
68330.63677261773,83538.43715204441,1.3129807034821075,0.09209339245234581,16437671.60711513,1
19593.035459674684,139930.1841561203,1.2596419530324623,0.5288544129374927,11748483.060503345,1
43030.70978398759,54716.704941562275,0.7345249308883954,0.33258468939554714,13349542.46066535,0
72794.40361189286,155217.43322423595,1.9049028685749163,0.6161177657792287,11868168.372746019,1
